id,sex,employment,marital,income,social1
200001,1,employed,1,8068,.12412811
200002,1,employed,1,7484,.5459165
200003,1,employed,0,12388,.064315304
200004,0,employed,1,77288,.18343857
200005,1,employed,1,9978,.66674751
200006,0,employed,1,9039,.19031292
200007,1,student,0,0,.98583907
200008,1,employed,1,6814,0
200009,0,employed,0,58549,0
200010,1,unemployed,1,0,0
200011,1,employed,1,11635,.62742186
200012,1,employed,1,21750,.54788023
200013,1,retired,1,11813,.25393379
200014,1,retired,1,4628,.22331285
200015,1,student,0,7248,.78142619
200016,1,student,0,0,.97417343
200017,0,employed,1,18858,.88075179
200018,0,employed,1,15062,0
200019,1,student,0,0,.76812321
200020,1,student,0,0,.75337553
200021,1,retired,1,37850,.22247382
200022,0,student,0,0,.32749489
200023,1,employed,0,10829,0
200024,1,unemployed,1,0,.52355433
200025,1,employed,0,25617,.73453021
200026,1,employed,1,28276,.96265018
200027,1,student,0,0,.45649716
200028,1,retired,1,8369,0
200029,1,employed,1,13466,0
200030,0,student,0,3256,.85810006
200031,1,employed,1,6850,.56777722
200032,1,student,0,0,.73837948
200033,0,employed,0,7474,.74910855
200034,1,employed,1,16645,.65000403
200035,1,employed,1,28206,.76950252
200036,1,employed,0,14844,.27172595
200037,0,retired,1,38923,0
200038,0,employed,1,4427,.37733632
200039,1,employed,0,5865,.51202178
200040,1,retired,1,4577,.34134287
200041,1,employed,1,5551,0
200042,0,retired,1,4851,0
200043,0,unemployed,0,0,0
200044,1,employed,1,15086,0
200045,1,employed,0,33021,.2791318
200046,1,employed,1,7224,0
200047,1,student,0,6818,.76167697
200048,0,unemployed,1,0,0
200049,1,unemployed,0,42417,.1949815
200050,1,employed,1,16073,.58987617
200051,1,student,0,0,.44237483
200052,0,retired,0,17589,.26451117
200053,1,student,0,10161,.68002009
200054,1,retired,0,11736,.16756918
200055,1,retired,1,3607,0
200056,0,unemployed,1,14738,.73030859
200057,1,student,1,0,.10084689
200058,1,employed,1,13241,0
200059,0,employed,1,6753,.51500171
200060,0,student,0,0,.87388051
200061,1,employed,0,13532,.40214756
200062,0,employed,0,5798,.00645064
200063,1,employed,1,26357,.3891038
200064,1,retired,0,5797,.33299914
200065,1,student,0,0,.10718606
200066,1,employed,1,13302,.66544831
200067,1,retired,0,16948,0
200068,0,unemployed,0,38035,.63242179
200069,1,retired,1,28971,.29977757
200070,0,employed,1,6588,.052683547
200071,1,employed,0,8402,0
200072,1,employed,1,5840,.69293749
200073,1,unemployed,1,0,0
200074,0,employed,0,6693,.67816246
200075,1,unemployed,1,9589,0
200076,1,employed,1,10530,0
200077,1,student,1,0,.12220806
200078,1,unemployed,1,0,.31077921
200079,0,employed,1,96640,.5814749
200080,1,employed,1,43598,.59510881
200081,1,employed,1,11571,.79541451
200082,0,student,0,0,.94433868
200083,1,employed,0,11159,.28459406
200084,1,retired,0,10678,.21968353
200085,1,employed,1,8078,.52360678
200086,1,retired,1,4691,0
200087,1,employed,0,14178,.8049053
200088,1,student,0,11428,.91674429
200089,0,employed,1,7808,0
200090,1,student,0,0,.76649123
200091,1,employed,1,15559,.1114759
200092,1,retired,1,50791,0
200093,0,employed,1,14421,.54734272
200094,1,employed,1,192526,.66175699
200095,1,employed,1,36682,.74572182
200096,1,employed,1,15030,.98107922
200097,0,student,0,42106,.99524546
200098,1,employed,1,17263,.58583784
200099,1,student,0,0,.44295162
200100,1,employed,1,7285,.061678551
200101,1,employed,1,23491,.3820793
200102,0,employed,1,9484,.56997925
200103,1,retired,1,7842,.32724425
200104,1,employed,0,46414,.55380017
200105,1,employed,1,11012,.52479839
200106,0,student,0,0,.88512003
200107,0,retired,0,8070,.25255832
200108,1,student,0,0,.89945567
200109,1,employed,1,28189,.78811204
200110,1,unemployed,1,0,0
200111,1,retired,1,10441,.090269849
200112,0,employed,0,13040,.054914616
200113,1,employed,1,16473,.044179223
200114,1,employed,1,17564,.85147691
200115,0,employed,0,9476,.63860148
200116,0,retired,0,9984,.39480063
200117,1,employed,0,34156,.62506056
200118,1,employed,1,7224,.68731326
200119,1,employed,1,5804,.57962614
200120,1,retired,1,7389,.11678927
200121,0,employed,0,12398,.018134175
200122,1,employed,0,13441,.57022083
200123,1,employed,1,71175,0
200124,1,employed,1,27176,0
200125,1,employed,1,9328,.25441328
200126,1,student,0,0,.44343546
200127,1,employed,1,5059,0
200128,1,employed,1,8746,.96112299
200129,0,retired,1,51348,.2052445
200130,1,employed,1,40508,.64499003
200131,0,retired,1,3865,.073756203
200132,1,employed,1,24489,.85002935
200133,1,employed,1,124825,.59497517
200134,1,student,0,14729,.65220529
200135,1,employed,1,6024,0
200136,1,unemployed,1,0,0
200137,1,employed,1,8423,.35819381
200138,0,employed,1,14655,0
200139,0,unemployed,1,22459,.80444872
200140,0,employed,1,44635,.52236241
200141,1,employed,0,10016,.53277224
200142,0,unemployed,0,8084,0
200143,1,student,0,0,.70213693
200144,0,student,0,10201,.93178689
200145,0,employed,1,4524,.81364119
200146,0,unemployed,0,0,.71601814
200147,1,employed,1,41472,.85560405
200148,1,employed,1,16794,.62892717
200149,0,employed,0,17268,.7599057
200150,0,employed,1,11370,.50684857
200151,0,employed,1,181641,.66521645
200152,1,retired,1,4695,0
200153,0,employed,1,10598,.24106023
200154,0,employed,1,5529,.50221318
200155,0,employed,1,7985,.18863966
200156,1,employed,1,12469,0
200157,1,student,0,15583,.87090474
200158,1,employed,0,7137,.5208782
200159,0,employed,1,8800,.41804808
200160,1,unemployed,1,15438,.0070598768
200161,1,employed,1,6994,.80123395
200162,1,employed,1,7629,.47129667
200163,0,student,0,0,.39608258
200164,1,unemployed,1,9394,0
200165,1,employed,1,11535,.77492177
200166,1,employed,1,21466,.80146748
200167,1,employed,1,67891,.64458293
200168,1,employed,1,54948,.31710884
200169,1,retired,1,17496,0
200170,0,employed,0,6485,.27047238
200171,1,employed,1,11944,.56781179
200172,1,employed,1,7176,.79997081
200173,1,retired,1,135702,.13329777
200174,1,employed,1,132776,.49434257
200175,1,employed,1,10738,.24762048
200176,1,employed,1,12149,.65048683
200177,1,employed,1,8058,.050090697
200178,0,retired,1,13802,.13779357
200179,1,employed,1,7049,0
200180,0,employed,1,6798,.87440526
200181,1,unemployed,1,7195,.70303369
200182,0,student,0,35188,.38088202
200183,1,employed,1,18025,.42218828
200184,1,employed,1,21656,.4791441
200185,1,employed,1,8513,.65779006
200186,0,employed,1,15443,.76016712
200187,1,employed,1,75768,.37981236
200188,0,employed,1,5155,.68046147
200189,0,employed,1,8607,.11447977
200190,0,employed,0,6831,.69522321
200191,1,retired,1,26966,.23972687
200192,1,employed,1,9137,0
200193,1,employed,1,7897,.77245796
200194,1,employed,0,13138,.77817661
200195,1,employed,1,68724,.69281608
200196,1,employed,0,9764,.76694536
200197,1,employed,1,9436,.00023542675
200198,0,unemployed,1,41997,0
200199,0,student,0,0,.84563494
200200,0,employed,1,5373,.61126167
200201,1,employed,1,7191,.77437913
200202,1,employed,1,11964,0
200203,1,employed,1,65641,.59879082
200204,1,employed,1,17698,.68333215
