id,own,competing2,competing3,borrowertype,accepted,default,profit
100001,,,.23683989,0,0,0,
100002,.33864525,.6209625,.15244454,2,0,1,
100003,.15158205,.09574917,,0,0,0,
100004,.07578738,.062737852,.0044694184,0,0,0,
100005,.94455957,.30943397,.29730427,3,0,0,
100006,.65195173,,.46306804,0,0,0,
100007,.2910994,.059999999,.1529,2,0,0,
100008,,,.38484183,0,0,0,
100009,.067249462,.16234024,.1279,0,1,0,672.49463
100010,.35747018,,.1824552,0,0,0,
100011,.6551044,.56854385,.35350001,0,0,0,
100012,,,.39480168,0,0,1,
100013,,,,0,0,0,
100014,.78869623,.54790002,.2751216,2,0,1,
100015,.17898862,.20999999,,0,1,0,1789.8862
100016,,,.26339149,0,0,0,
100017,.16646455,.6209625,,1,1,0,1664.6455
100018,.25274259,.19385965,.2198,2,0,0,
100019,.070244677,.18231365,.16494906,0,1,0,702.44678
100020,.31369668,,.2632266,0,0,0,
100021,.091276459,.092173688,.2176,0,1,0,912.76459
100022,,.4560127,.54541749,0,0,0,
100023,.10422387,.050224788,.11769032,0,0,0,
100024,.32939771,.11,.1947,0,0,0,
100025,.81662297,.27359682,.23521952,1,0,1,
100026,.32669318,.57434464,.30352387,0,0,0,
100027,,.25779885,.19145255,0,0,0,
100028,,.20961969,.64520329,0,0,1,
100029,.72060549,.47285679,.068000004,0,0,0,
100030,.15848842,.19,.21297164,0,1,0,1584.8843
100031,.49686259,.34232023,,0,0,0,
100032,.71141469,.40606663,.42895141,2,0,0,
100033,,,.2263,0,0,1,
100034,.083275832,.25582945,.054334778,3,0,0,
100035,,.20728996,.23154475,0,0,0,
100036,.21961543,.23654412,.13593896,0,0,0,
100037,,.4602564,.22354236,0,0,0,
100038,.24908704,.3129482,,2,1,1,-10000
100039,,,.48604974,3,0,1,
100040,,,.2062,3,0,0,
100041,,.42225185,,0,0,0,
100042,.45330882,.25929397,.30213293,3,0,1,
100043,.57427114,,.39016783,0,0,0,
100044,.75685185,.22,.51405668,2,0,0,
100045,.10762656,.059999999,.15429534,2,0,1,
100046,.14307162,.23512909,.385847,1,1,0,1430.7162
100047,.051278923,.062737852,.1683,0,1,0,512.78925
100048,.29773176,.26280251,,0,0,0,
100049,.11719025,.12366403,.17650461,2,0,0,
100050,.10656197,.095270127,.17659999,2,0,0,
100051,.22673559,,.26575559,0,1,0,2267.356
100052,.46174812,.46518347,.3501316,0,0,1,
100053,.50215584,.5392977,,0,1,0,5021.5586
100054,.093674481,.062737852,.1332,0,0,0,
100055,,.20959143,,0,0,0,
100056,.10455581,,.13185857,0,1,0,1045.5581
100057,.4178547,,,0,1,1,-10000
100058,.31889704,,.40602833,0,1,1,-10000
100059,.35090813,.94565088,.1198525,0,0,0,
100060,.23621741,.3005673,.28389099,0,1,0,2362.1741
100061,.1556619,.1927886,.099758066,0,0,0,
100062,.26895505,.1655914,,0,0,0,
100063,,,.75723308,0,0,1,
100064,.12775581,.1298518,.16490045,1,1,0,1277.5581
100065,.49250188,.33552191,.29500878,0,0,0,
100066,.39805585,,.21422747,2,0,0,
100067,.15697925,,,0,1,0,1569.7925
100068,.57637244,,.26634586,0,0,0,
100069,.13243073,.15668628,.18205245,1,1,0,1324.3074
100070,,,,0,0,1,
100071,.07645081,.31029248,.077148907,0,1,0,764.50812
100072,.037065011,.062737852,.1496,0,1,0,370.65012
100073,.050000001,.010767313,.090000004,0,0,0,
100074,.071708649,,.061345056,3,0,0,
100075,.20395651,.11323224,.119,0,0,0,
100076,.21186447,,.27923852,0,1,0,2118.6448
100077,.30251274,.17,.1742,0,0,0,
100078,.87923658,.21286978,.41354513,3,0,0,
100079,,.35154721,.26499462,0,0,0,
100080,.46702245,,,0,1,0,4670.2246
100081,.023288183,.31026486,.119,0,1,0,232.88184
100082,.56857055,.31669319,.59011096,3,0,0,
100083,.47041529,.50359094,.39055547,0,0,1,
100084,,.53146183,,0,0,1,
100085,,,.22149999,0,0,1,
100086,.21198022,.1910124,.19159999,2,0,1,
100087,.22038826,.3129482,.23092915,0,1,0,2203.8826
100088,,.31032085,.26578614,2,0,1,
100089,.19912276,.17012303,.45590252,0,0,0,
100090,.6496129,.53231049,.18822126,0,0,0,
100091,,,,0,0,1,
100092,.25004488,.27725446,.2469369,2,0,0,
100093,.037110746,.062737852,.043905586,0,1,0,371.10745
100094,,.59207183,,1,0,0,
100095,.23721072,,,1,1,0,2372.1072
100096,,.21304969,,0,0,0,
100097,.28102267,.1171797,.073361948,1,0,0,
100098,.029704301,,.04390559,3,0,0,
100099,,.37067214,,0,0,0,
100100,.089548036,.062737852,.018520389,0,0,0,
100101,.1055147,,.11465938,3,0,0,
100102,,,.69589102,3,0,0,
100103,.070361316,.26143965,.17657456,3,1,0,703.61316
100104,.049993712,.082178116,.04932607,3,0,0,
100105,.45542276,,.19717912,0,0,0,
100106,.15082863,.078221858,.033042971,0,0,0,
100107,,,,0,0,1,
100108,,,.49403998,0,0,0,
100109,.11808716,.20999999,.14946082,3,1,0,1180.8716
100110,.71500331,.084716499,.33243528,0,0,0,
100111,.080878489,.040758453,.24838337,0,0,0,
100112,.087154299,.062203381,,2,0,0,
100113,,.21870887,.42468387,0,0,0,
100114,.060362667,,.068999998,0,1,0,603.62665
100115,.031061674,.02,.092,1,1,0,310.61673
100116,.1246627,.20094678,.17110902,3,1,0,1246.627
100117,.81996083,,.28839999,0,0,1,
100118,.56087059,.2413069,.2155,0,0,0,
100119,.71976548,.59934026,,0,0,0,
100120,.86014885,.13900073,,3,0,1,
100121,.21821813,,.16284959,0,0,0,
100122,.10143375,,.1926,2,1,0,1014.3375
100123,.31309456,.22738792,.45844156,3,0,0,
100124,.11278528,.1171797,.10265247,0,0,0,
100125,.23858929,.28288457,.18695149,0,0,0,
100126,.47241819,.22805248,,2,0,1,
